	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	3	7	1	1	1	1	48	0	0	4.90834 	0	0
UL	33	7	1	1	1	1	48	0	0	12.8385 	0	0
UL	35	0	1	1	1	1	963	19	0	7.35708 	1	1
UL	35	4	1	1	1	1	963	19	0	7.35708 	1	1
UL	35	5	1	1	1	1	963	19	1	7.35708 	0	0
UL	35	9	1	1	1	1	963	19	1	7.35708 	0	0
DL	53	1	1	1	2	1	48	0	0	47.1652	 	0	0
DL	53	1	2	1	2	2	48	0	0	32.3665	 	0	0
DL	53	1	3	1	2	3	48	0	0	34.6895	 	0	0
DL	53	1	4	1	2	4	48	0	0	5.30894	 	0	0
UL	53	3	1	6	1	1	308	0	0	15.2034 	0	0
DL	54	2	1	1	2	1	1776	28	0	45.2677	 	0	0
DL	54	2	2	1	2	2	1776	28	0	32.5337	 	0	0
DL	54	2	3	1	2	3	1776	28	0	33.0525	 	0	0
DL	54	2	4	1	2	4	385	10	0	2.17561	 	1	1
UL	54	4	1	1	1	1	1157	21	0	15.2348 	0	3.86802e-13
DL	54	7	1	1	2	4	385	10	1	2.17561	 	0	4.86511e-08
DL	84	4	1	2	2	4	100	0	0	3.65274	 	0	0
DL	84	4	3	2	2	1	100	0	0	36.0283	 	0	0
DL	84	4	5	2	2	2	100	0	0	30.6045	 	0	0
DL	84	4	7	2	2	3	100	0	0	45.0203	 	0	0
UL	84	6	1	1	1	1	48	0	0	14.3632 	0	0
DL	85	4	2	1	2	4	282	8	0	4.38994	 	0	6.66134e-16
DL	85	4	3	1	2	1	1776	28	0	40.1827	 	0	0
DL	85	4	4	1	2	2	1776	28	0	33.3312	 	0	0
DL	85	4	5	1	2	3	1776	28	0	45.2005	 	0	0
DL	85	5	2	1	2	1	1776	28	0	40.1827	 	0	0
DL	85	5	3	1	2	2	1776	28	0	33.3312	 	0	0
DL	85	5	4	1	2	3	1776	28	0	45.2005	 	0	0
DL	85	9	1	1	2	4	282	8	0	4.38994	 	0	6.66134e-16
UL	86	8	1	1	1	1	1060	20	0	18.9395 	0	0
DL	503	0	11	12	2	1	619	0	0	46.3501	 	0	0
DL	503	1	7	8	2	1	411	0	0	46.3501	 	0	0
DL	503	1	15	8	2	2	411	0	0	32.4962	 	0	0
UL	503	2	1	1	1	1	48	0	0	15.3945 	0	0
DL	503	2	2	2	2	1	100	0	0	46.3501	 	0	0
DL	503	2	4	10	2	2	515	0	0	32.4962	 	0	0
DL	503	2	14	9	2	3	463	0	0	33.2723	 	0	0
UL	503	3	7	1	1	1	48	0	0	15.3945 	0	0
DL	503	3	8	6	2	3	308	0	0	33.2723	 	0	0
DL	503	3	14	5	2	4	256	0	0	2.12644	 	0	0
DL	503	3	19	4	2	2	204	0	0	32.4962	 	0	0
DL	503	4	1	14	2	4	722	0	0	2.12644	 	0	0
DL	503	4	15	1	2	1	1776	28	0	46.3501	 	0	0
DL	503	4	16	7	2	3	359	0	0	33.2723	 	0	0
DL	503	5	7	1	2	1	1776	28	0	46.3501	 	0	0
DL	503	5	8	2	2	2	3558	28	0	32.4962	 	0	0
DL	503	5	10	7	2	3	359	0	0	33.2723	 	0	0
DL	503	5	17	6	2	4	308	0	0	2.12644	 	0	0
DL	503	6	1	17	2	4	872	0	0	2.12644	 	0	0
DL	503	6	18	1	2	1	1776	28	0	46.3501	 	0	0
DL	503	6	20	1	2	2	1776	28	0	32.4962	 	0	0
DL	503	6	21	2	2	3	3558	28	0	33.2723	 	0	0
DL	503	7	9	8	2	4	2268	8	0	2.12644	 	0	6.5939e-06
DL	503	8	1	1	2	1	1776	28	0	46.3501	 	0	0
DL	503	8	2	1	2	2	1776	28	0	32.4962	 	0	0
DL	503	8	3	1	2	3	1776	28	0	33.2723	 	0	0
DL	503	8	5	2	2	4	567	8	0	2.12644	 	0	2.19797e-06
DL	503	9	7	2	2	4	567	8	0	2.12644	 	0	2.19797e-06
DL	504	0	1	2	2	4	567	8	0	2.12644	 	0	2.19797e-06
DL	504	0	3	1	2	1	1776	28	0	46.3501	 	0	0
DL	504	0	4	1	2	2	1776	28	0	32.4962	 	0	0
DL	504	0	5	1	2	3	1776	28	0	33.2723	 	0	0
DL	504	1	7	2	2	4	567	8	0	1.34852	 	1	0.996765
DL	504	2	1	2	2	4	567	8	0	1.34852	 	1	0.996765
DL	504	2	3	1	2	1	1776	28	0	38.0185	 	0	0
DL	504	2	4	1	2	2	1776	28	0	34.0904	 	0	0
DL	504	2	5	1	2	3	1776	28	0	45.1263	 	0	0
DL	504	3	8	2	2	4	567	8	0	1.34852	 	1	0.996765
UL	504	4	1	1	1	1	1157	21	0	14.7032 	0	4.20766e-06
DL	504	4	2	2	2	4	567	8	0	1.34852	 	1	0.996765
DL	504	4	4	1	2	1	1776	28	0	38.0185	 	0	0
DL	504	4	5	1	2	2	1776	28	0	34.0904	 	0	0
DL	504	4	6	1	2	3	1776	28	0	45.1263	 	0	0
DL	504	5	7	3	2	4	580	6	0	1.34852	 	0	0
DL	504	6	1	2	2	4	567	8	1	1.34852	 	0	0
DL	504	6	3	6	2	4	1157	6	0	1.34852	 	0	0
DL	504	6	9	1	2	1	1776	28	0	38.0185	 	0	0
DL	504	6	10	1	2	2	1776	28	0	34.0904	 	0	0
DL	504	6	11	1	2	3	1776	28	0	45.1263	 	0	0
DL	504	7	7	2	2	4	567	8	1	1.34852	 	0	0
DL	504	8	1	2	2	4	567	8	1	1.34852	 	0	0
DL	504	8	3	1	2	1	1776	28	0	38.0185	 	0	0
DL	504	8	5	1	2	2	1776	28	0	34.0904	 	0	0
DL	504	8	6	1	2	3	1776	28	0	45.1263	 	0	0
DL	504	8	7	6	2	4	1157	6	0	1.34852	 	0	0
DL	504	9	7	2	2	4	567	8	1	1.34852	 	0	0
UL	505	8	1	1	1	1	1157	21	0	17.3338 	0	0
DL	505	8	2	2	2	2	3558	28	0	27.9507	 	0	0
DL	505	8	4	2	2	3	3558	28	0	33.4349	 	0	0
DL	505	8	6	15	2	4	2901	6	0	4.72522	 	0	0
DL	505	8	21	2	2	1	3558	28	0	45.3536	 	0	0
DL	506	0	1	22	2	4	4255	6	0	4.72522	 	0	0
DL	506	1	6	13	2	4	2512	6	0	4.72522	 	0	0
DL	506	2	1	18	2	4	5108	8	0	4.72522	 	0	0
DL	506	2	19	2	2	1	3558	28	0	45.3536	 	0	0
DL	506	2	21	1	2	2	1776	28	0	27.9507	 	0	0
DL	506	2	22	1	2	3	1776	28	0	33.4349	 	0	0
DL	506	3	6	1	2	1	1776	28	0	45.3536	 	0	0
DL	506	3	7	1	2	2	1776	28	0	27.9507	 	0	0
DL	506	3	8	1	2	3	1776	28	0	33.4349	 	0	0
DL	506	3	9	5	2	4	1416	8	0	4.72522	 	0	0
DL	506	4	1	4	2	1	7120	28	0	45.3536	 	0	0
DL	506	4	6	4	2	2	7120	28	0	27.9507	 	0	0
DL	506	4	11	4	2	3	7120	28	0	33.4349	 	0	0
DL	506	4	16	4	2	4	1131	8	0	4.72522	 	0	0
DL	506	5	6	1	2	1	1776	28	0	45.3536	 	0	0
DL	506	5	7	1	2	2	1776	28	0	27.9507	 	0	0
DL	506	5	8	1	2	3	1776	28	0	33.4349	 	0	0
DL	506	5	9	14	2	4	3970	8	0	4.72522	 	0	0
DL	506	6	1	1	2	1	1776	28	0	45.3536	 	0	0
DL	506	6	2	1	2	2	1776	28	0	27.9507	 	0	0
DL	506	6	3	1	2	3	1776	28	0	33.4349	 	0	0
DL	506	6	4	16	2	4	4540	8	0	4.72522	 	0	0
DL	506	7	6	17	2	4	4823	8	0	4.72522	 	0	0
DL	506	8	2	12	2	4	3403	8	0	1.60809	 	1	0.995741
DL	506	8	14	1	2	1	1776	28	0	39.7353	 	0	0
DL	506	8	15	1	2	2	1776	28	0	30.9031	 	0	0
DL	506	8	16	1	2	3	1776	28	0	45.3596	 	0	0
DL	506	9	6	17	2	4	4823	8	0	1.60809	 	1	0.99952
UL	507	0	1	1	1	1	1449	24	0	15.4452 	1	1
DL	507	0	2	21	2	4	5960	8	0	1.60809	 	1	0.999839
DL	507	4	1	12	2	4	3403	8	1	1.60809	 	0	0
UL	507	5	6	1	1	1	1449	24	1	14.4882 	0	0
DL	507	6	1	17	2	4	4823	8	1	1.60809	 	0	0
DL	507	6	18	2	2	4	385	6	0	1.60809	 	0	0
DL	507	6	20	1	2	1	1776	28	0	39.7353	 	0	0
DL	507	6	21	1	2	2	1776	28	0	30.9031	 	0	0
DL	507	6	22	1	2	3	1776	28	0	45.3596	 	0	0
DL	507	7	7	4	2	4	768	6	0	1.60809	 	0	0
DL	507	8	1	21	2	4	5960	8	1	1.60809	 	0	0
DL	507	8	22	1	2	4	191	6	0	5.00079	 	0	0
DL	507	9	7	1	2	1	1776	28	0	37.6372	 	0	0
DL	507	9	8	1	2	2	1776	28	0	31.2245	 	0	0
DL	507	9	9	1	2	3	1776	28	0	44.6687	 	0	0
DL	507	9	10	13	2	4	2512	6	0	5.00079	 	0	0
DL	508	0	1	3	2	1	5341	28	0	37.6372	 	0	0
DL	508	0	4	3	2	2	5341	28	0	31.2245	 	0	0
DL	508	0	7	3	2	3	5341	28	0	44.6687	 	0	0
DL	508	0	10	13	2	4	2512	6	0	5.00079	 	0	0
DL	508	1	7	16	2	4	3092	6	0	5.00079	 	0	0
UL	508	2	1	1	1	1	1254	22	0	14.4882 	1	0.999361
DL	508	2	2	15	2	4	5805	10	0	5.00079	 	0	0.401814
DL	508	2	17	1	2	1	1776	28	0	37.6372	 	0	0
DL	508	2	19	1	2	2	1776	28	0	31.2245	 	0	0
DL	508	2	21	1	2	3	1776	28	0	44.6687	 	0	0
DL	508	3	7	14	2	4	3970	8	0	5.00079	 	0	0
DL	508	4	1	2	2	4	567	8	0	5.00079	 	0	0
DL	508	4	3	1	2	1	1776	28	0	37.6372	 	0	0
DL	508	4	4	1	2	2	1776	28	0	31.2245	 	0	0
DL	508	4	5	1	2	3	1776	28	0	44.6687	 	0	0
DL	508	5	7	2	2	4	567	8	0	5.00079	 	0	0
DL	508	6	1	2	2	4	567	8	0	5.00079	 	0	0
DL	508	6	3	1	2	1	1776	28	0	37.6372	 	0	0
