	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	1	3	1	1	1	1	48	0	0	21.8411 	0	0
UL	1	6	1	1	1	1	48	0	0	21.8411 	0	0
UL	1	9	1	1	1	1	1718	27	0	19.8501 	1	0.937196
UL	2	3	1	1	1	1	1718	27	1	21.1649 	0	0
UL	4	3	2	1	1	1	1640	26	0	20.6379 	0	1.17844e-07
UL	4	4	2	1	1	1	1640	26	0	21.4905 	0	1.32819e-09
UL	4	6	3	1	1	1	1640	26	0	19.976 	0	3.48059e-06
UL	4	9	1	1	1	1	1718	27	0	20.4476 	1	0.494542
UL	5	0	1	1	1	1	1718	27	0	20.4476 	0	0.494542
UL	5	4	1	1	1	1	1718	27	1	21.0902 	0	0
UL	5	4	2	1	1	1	1640	26	0	21.0902 	0	9.05443e-09
DL	30	8	1	1	2	1	48	0	0	17.6252	 	0	0
UL	31	0	1	2	1	1	100	0	0	20.9916 	0	0
UL	31	3	1	2	1	1	100	0	0	20.9916 	0	0
UL	31	5	2	1	1	1	1640	26	0	21.3819 	0	2.33366e-09
DL	31	7	1	1	2	1	1449	24	0	17.6557	 	0	1.52174e-08
UL	31	8	2	1	1	1	1640	26	0	20.4892 	0	4.73511e-07
DL	32	0	3	1	2	1	1449	24	0	17.5855	 	0	0.000702326
DL	32	7	1	1	2	1	1449	24	0	17.6242	 	0	6.50005e-07
DL	34	9	2	1	2	1	1449	24	0	15.8441	 	0	0.358608
DL	35	0	2	1	2	1	1449	24	0	17.5837	 	0	0.00833179
UL	35	1	2	1	1	1	1640	26	0	20.1341 	0	3.22011e-06
DL	35	1	3	1	2	1	1449	24	0	12.0845	 	1	1
UL	35	2	2	1	1	1	1640	26	0	20.6894 	0	4.48089e-07
DL	35	2	3	1	2	1	1449	24	0	13.5314	 	1	1
DL	35	3	2	1	2	1	1254	22	0	17.6294	 	0	0
UL	35	4	2	1	1	1	1640	26	0	20.7109 	0	4.22833e-08
DL	35	4	3	1	2	1	1449	24	0	10.387	 	1	1
UL	35	5	2	1	1	1	1640	26	0	20.5483 	0	0
DL	35	5	3	1	2	1	1449	24	1	12.0203	 	0	0
DL	35	5	4	1	2	1	768	16	0	12.0203	 	0	0
